"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 26 20:02:48 GMT 2023","Wed Apr 26 20:02:50 GMT 2023","1898","Surefire suite","Surefire test","tests.globalsqa.SearchCustomerTest","tests.globalsqa.SearchCustomerTest","searchCustomerTest","searchCustomerTest",""
"passed","Wed Apr 26 20:02:46 GMT 2023","Wed Apr 26 20:02:48 GMT 2023","2559","Surefire suite","Surefire test","tests.globalsqa.CreateCustomerTest","tests.globalsqa.CreateCustomerTest","createClientTest","createClientTest",""
"passed","Wed Apr 26 20:02:43 GMT 2023","Wed Apr 26 20:02:45 GMT 2023","2100","Surefire suite","Surefire test","tests.globalsqa.SortingByNameTest","tests.globalsqa.SortingByNameTest","sortingByNameTest","sortingByNameTest",""
"passed","Wed Apr 26 20:02:53 GMT 2023","Wed Apr 26 20:02:54 GMT 2023","455","Surefire suite","Surefire test","tests.pokemonsApi.PokemonApiTest","tests.pokemonsApi.PokemonApiTest","comparisonPokemonsParametersTest","comparisonPokemonsParametersTest",""
"passed","Wed Apr 26 20:02:50 GMT 2023","Wed Apr 26 20:02:53 GMT 2023","3029","Surefire suite","Surefire test","tests.pokemonsApi.PokemonApiTest","tests.pokemonsApi.PokemonApiTest","checkLimitPokemonsTest","checkLimitPokemonsTest",""
